,Importance
Date_of_Loss_Year_Only,0.23497352865742668
weather,0.15924068552292509
collisions,0.08898031727563584
Classification_Airplane,0.00012961630998141167
Classification_Anti-submarine Drifter,0.0
Classification_Auxiliary Vessel,0.0025626323112522206
Classification_Barge,0.008195006384442396
Classification_Barque,0.013302970963169064
Classification_Barquentine,0.004982580453486357
Classification_Boat,0.023489402855787062
Classification_Brig,0.011908942768175114
Classification_Brigantine,0.008920562533672804
Classification_Canoe,0.0
Classification_Cargo Ship,0.0032809103050885644
Classification_Carvel,0.0017945347059126076
Classification_Clinker,0.0023513873575346164
Classification_Clipper,0.0014936838606390212
Classification_Coast Guard Cruiser,0.0013824590998481098
Classification_Coaster,0.009994701224883239
Classification_Collier,0.013167465359296686
Classification_Crane Vessel,0.0
Classification_Cruiser,0.0029310411239612463
Classification_Cutter,0.008817029253074449
Classification_Dandy,0.008644792545185614
Classification_Dredger,0.001136300453407886
Classification_Dutch Galliot,0.001956734125103235
Classification_East Indiaman,0.003196621242009527
Classification_Fishing boat,0.014660125236335541
Classification_Fishing drifter,0.0010825896841315525
Classification_Flat,0.0019956048680176692
Classification_Frigate,0.002008132005196395
Classification_Full-rigged ship,0.012764797741990462
Classification_Gabarts,0.0003942441866467665
Classification_Gabbard,0.002723401744318556
Classification_Galleon,0.0022680804288129058
Classification_Galley,0.0
Classification_Galliot,0.0007961343580650677
Classification_Hacker,0.0005828917707226696
Classification_Hobble,0.0038004872379252537
Classification_Hooker,0.0029759784745001126
Classification_Hulk,0.0009957881126513202
Classification_Iron Paddle Steam Tug,0.0
Classification_Iron Steam Yacht,0.0017921883553405978
Classification_Iron Steamship,0.012134221992235012
Classification_Iron steam tug,0.0019020137146875608
Classification_Ironclad Battleship,0.0014231543046639978
Classification_Jigger,0.002505857210744971
Classification_Ketch,0.007930104930320692
Classification_Lifeboat,0.002791622350623659
Classification_Light Ship,0.001778896942819982
Classification_Lighter,0.00819882360360353
Classification_Liner,0.008444880187564527
Classification_Lugger,0.014413923191567632
Classification_Lugsail,0.007108528081996514
Classification_Man O' War,0.0034233998288757486
Classification_Market boat,0.003221160555205442
Classification_Merchant Vessel,0.010373385294894217
Classification_Motor Boat,0.003573762994340004
Classification_Motor Fishing Vessel,0.0
Classification_Motor-ship,0.0
Classification_Mule,0.001497678531465998
Classification_Nao,0.0013873654639594115
Classification_Nobby,0.0029980980105699783
Classification_Packet boat,0.0036687616261805657
Classification_Paddler Steamer,0.002633162099931007
Classification_Pilot boat,0.0008702542780768594
Classification_Pleasure Boat,0.0024649636914365653
Classification_Row boat,0.0015780059541055395
Classification_Sailing Boat,0.005654967198719724
Classification_Sailing Ship,0.007922094825793086
Classification_Schooner,0.021356552749920828
Classification_Scow,0.0005787925723484388
Classification_Screw Steamer,0.012487980672397871
Classification_Ship,0.013280468658401084
Classification_Skiff,0.0002917207232109293
Classification_Sloop,0.016066144522488817
Classification_Smack,0.010455429616645424
Classification_Smack Yacht,0.0014408668295133617
Classification_Snow,0.00447169542337408
Classification_Steam Drifter,0.0008377638901577019
Classification_Steam Liner,0.0
Classification_Steam Packet,0.003558160679184314
Classification_Steam Trawler,0.003971878825417149
Classification_Steam Tug,0.001484939397582951
Classification_Steam Yacht,0.0
Classification_Steamship,0.016149175892950528
Classification_Steel Steamship,0.02374581543980454
Classification_Stone hacker,0.0006487170195182075
Classification_Submarine,0.015145630748243002
Classification_Tanker,0.0033311129015752604
Classification_Tender,0.0
Classification_Trader,0.002041917964023141
Classification_Transport,0.0041019709962834446
Classification_Trawler,0.013757676759719875
Classification_Tug,0.002754863351396916
Classification_Urca,0.0012389448179665093
Classification_Vessel,0.005727621627571528
Classification_West Indiaman,0.001971605119883666
Classification_Whale Boat,0.0
Classification_Wherry,0.005778941315016995
Classification_Wooden Steam Tug,0.0
Classification_Yacht,0.01130600751900726
Classification_Yawl,0.015838588912764004
Classification_Zabra,0.0006055772926963981
